CSD Refcode,largest_cavity_diameter,pore_limitinig_diameter,largest_included_sphere_along_free_sphere_path,Unitcell_volume,Density_g/cm3,ASA_m^2/cm^3,ASA_m^2/g,NASA_m^2/cm^3,NASA_m^2/g,POAV_A^3,POAV_Volume_fraction,POAV_cm^3/g,PONAV_A^3,PONAV_Volume_fraction,PONAV_cm^3/g
ACAZAG,1.82118,0.98717,1.82118,590.006,2.79049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AQAWAQ01,2.97729,2.32379,2.97312,795.27,2.03789,0.0,0.0,147.013,72.1399,0.0,0.0,0.0,82.8671,0.1042,0.0511313
ACAZEK,1.67291,0.95578,1.30678,798.786,3.62252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEQRUM,2.90225,1.48863,2.87381,881.668,1.69979,0.0,0.0,42.4733,24.9873,0.0,0.0,0.0,18.8501,0.02138,0.012578
BAQKUD,6.25702,6.04089,6.25701,7433.39,2.10747,569.466,270.214,0.0,0.0,911.482,0.12262,0.0581836,0.0,0.0,0.0
AREWOK,2.53021,1.54598,2.27868,3387.38,1.63628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMUTEI,3.01929,1.69959,3.00825,2094.24,1.54999,0.0,0.0,41.7733,26.9508,0.0,0.0,0.0,44.7749,0.02138,0.0137937
AQAWAQ,3.1357,2.38321,3.1357,791.076,2.04869,0.0,0.0,180.123,87.921,0.0,0.0,0.0,88.1733,0.11146,0.0544054
AKEGIH,1.45213,0.79801,1.43217,344.131,2.64412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMBZAG10,2.32181,1.18814,2.31351,1504.81,2.15399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AXIXAJ,3.81123,3.43961,3.8005,1491.7,1.91493,789.284,412.173,0.0,0.0,237.897,0.15948,0.0832822,0.0,0.0,0.0
AHOHAJ,2.75876,1.23046,2.63767,3368.79,1.69665,0.0,0.0,0.974951,0.574632,0.0,0.0,0.0,0.0,0.0,0.0
AWEJAO,1.6897,1.04561,1.68885,1022.94,3.14244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AWEHOA,1.78808,0.85529,1.5525,685.413,2.91158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AWUYIC,2.07745,1.15015,2.07745,1776.69,1.80608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGPYRZ02,1.79777,0.84644,1.60778,315.476,2.6314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AWEHAM,1.59492,0.82441,1.57388,683.583,2.60422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AQAVIX,4.45412,3.62483,4.45302,1491.18,2.24943,2019.1,897.604,0.0,0.0,588.868,0.3949,0.175556,0.0,0.0,0.0
DAQSOD01,1.35834,0.70691,1.34936,915.324,3.04658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CIPDEM,2.21536,1.11027,2.09755,2232.56,2.21363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DEFFEC01,2.73775,1.96536,2.73199,1382.2,2.06664,0.0,0.0,4.63486,2.2427,0.0,0.0,0.0,0.0,0.0,0.0
DAQSOD,1.40395,0.73376,1.19242,926.827,3.00876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAFVIS,1.77288,1.09431,1.7284,1747.58,2.59949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAPJUB,2.71973,1.54403,2.71973,1053.01,1.88041,0.0,0.0,2.68111,1.42581,0.0,0.0,0.0,0.0,0.0,0.0
CUTNEL,3.60391,1.34293,3.60099,1630.53,1.89673,0.0,0.0,190.121,100.236,0.0,0.0,0.0,106.311,0.0652,0.0343749
DEFFEC,2.85633,2.04406,2.84878,1407.22,2.0299,0.0,0.0,23.9612,11.8041,0.0,0.0,0.0,12.7213,0.00904,0.00445342
CABNEB,3.35154,1.35658,2.64361,4163.87,1.99154,0.0,0.0,65.7823,33.0309,0.0,0.0,0.0,95.436,0.02292,0.0115087
CITZOW,2.899,1.25277,2.77872,2011.93,1.70086,0.0,0.0,6.17544,3.63077,0.0,0.0,0.0,25.3905,0.01262,0.00741977
DONHAR,1.98867,1.05728,1.86989,1980.82,1.81154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOPTIM,2.12099,1.1843,1.75764,843.153,2.41386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EZECES,4.30259,2.74461,4.30259,1959.81,1.3008,545.366,419.254,0.292401,0.224786,261.361,0.13336,0.102522,0.0,0.0,0.0
DILGIP,1.93848,1.1837,1.70072,966.335,2.08993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EJUJAW,2.39166,1.71936,2.38821,904.096,1.9029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EKUZOC,1.97475,1.14344,1.97475,2345.94,2.62696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EQOKAW,3.26839,2.82122,3.26839,3057.79,1.70781,139.278,81.554,9.68403,5.67045,144.206,0.04716,0.0276144,0.0,0.0,0.0
DOMHAR,2.12842,0.85718,1.95338,449.748,2.26024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FABFUN,2.81484,1.22069,2.81484,1896.22,1.65047,0.0,0.0,2.45115,1.48512,0.0,0.0,0.0,0.0,0.0,0.0
EMOVIM,3.29819,1.85354,3.28585,1113.2,1.86194,0.0,0.0,273.786,147.043,0.0,0.0,0.0,113.056,0.10156,0.0545453
EPAKEM,1.86216,1.2943,1.86216,1222.46,1.83712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EDOVIC,5.72591,4.87869,5.71197,1181.47,1.29288,2567.21,1985.65,0.0,0.0,617.036,0.52226,0.403951,0.0,0.0,0.0
GUJFAS,2.13717,0.8902,2.13717,244.355,2.6639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GIKPUM,2.4069,1.02517,2.39848,1213.65,1.97101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUHNON,1.82153,0.87303,1.67584,1356.95,2.98988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GISMEC,1.52343,0.9755,1.52343,912.99,2.28459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GAKSOB,1.39836,0.73047,1.38495,283.932,2.936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GOVRUG,2.72532,1.07928,2.72532,1415.0,1.95835,0.0,0.0,6.00283,3.06525,0.0,0.0,0.0,0.0,0.0,0.0
FUHPAB,1.92335,0.95329,1.9193,487.556,2.86693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIKRIB,2.43006,1.55704,2.07139,3553.15,1.74877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOBZEB,2.17536,0.83127,1.82898,734.703,2.48081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FEVGIZ,2.40228,1.49236,2.36806,764.458,2.12003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GUJFEW,2.12048,1.09588,2.12048,538.491,2.50415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HACWOY,2.40873,1.05159,2.39205,1955.64,1.81172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEHMOW,1.48505,0.32981,0.99725,1712.31,4.1389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IWOLOV,1.30856,0.78582,1.30856,206.671,2.89151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOQFAU01,1.38521,0.82658,1.37901,296.819,2.61779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOFRAY,4.24316,3.41071,4.22963,1375.56,3.70682,1096.7,295.859,0.0,0.0,310.298,0.22558,0.0608554,0.0,0.0,0.0
IFUXIQ,2.62457,1.39997,2.35372,1405.45,1.54068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IYEPOR,2.93979,1.51482,2.74465,1999.03,1.7226,0.0,0.0,27.6317,16.0407,0.0,0.0,0.0,30.5451,0.01528,0.00887032
IWOGIM,2.63939,1.94819,2.60668,1396.97,2.42472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HUJZIW,2.21234,1.29981,2.21029,1045.67,2.07782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IJOMAW,1.62872,0.74177,1.61866,1755.27,3.88026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFUXAI,2.60257,1.41329,2.60257,2118.15,1.6614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOQFAU,1.32885,0.8669,1.28154,613.102,2.53468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IHUPAE,2.60042,1.45209,2.60042,2557.15,1.48182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INALIT,2.60311,1.435,2.60311,1304.08,1.72215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAFMUC,1.92901,1.27417,1.92518,507.35,2.25178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KIQHOH,2.16767,1.94531,2.1589,675.582,2.39893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KOBMIY,2.69755,1.45925,2.67359,8675.5,1.74609,0.0,0.0,0.132108,0.0756593,0.0,0.0,0.0,0.0,0.0,0.0
JAZJIE,5.24611,4.36953,5.24611,6988.86,1.69012,609.257,360.481,0.0,0.0,957.893,0.13706,0.0810947,0.0,0.0,0.0
JODHAM,1.61448,0.77987,1.5737,743.466,2.53705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JUPZEC,5.83099,2.25557,5.83099,1200.86,1.23124,0.0,0.0,1422.16,1155.07,0.0,0.0,0.0,416.003,0.34642,0.28136
KEQVOT,2.40696,1.29368,2.03637,1086.05,2.07362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KIBVEX,3.53826,1.93628,3.51957,998.354,1.64752,0.0,0.0,322.487,195.741,0.0,0.0,0.0,89.752,0.0899,0.0545668
KIBVOH,2.52741,1.17442,2.38233,1950.71,1.75794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JUSJAK,3.77463,1.01116,3.55053,7755.73,4.99315,0.0,0.0,134.937,27.0244,0.0,0.0,0.0,271.606,0.03502,0.00701361
KAMTOH08,1.85695,1.00146,1.51761,666.789,2.44037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LADFED,3.01927,1.14685,2.96276,1744.4,2.00863,0.0,0.0,20.9014,10.4058,0.0,0.0,0.0,25.6078,0.01468,0.00730845
JOCXEF,2.57267,1.25978,2.57224,1795.61,1.65438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KIQHOH01,2.06209,1.40374,2.04384,706.777,2.29305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JOFPOL,1.61774,1.00476,1.49269,1406.7,2.493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LINPUU,2.12905,1.4341,2.1261,1550.68,1.81713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NIHNAV,3.02391,1.25826,2.50958,783.704,2.68193,0.0,0.0,38.9659,14.5291,0.0,0.0,0.0,31.0974,0.03968,0.0147953
NENRAB,1.55638,0.80564,1.53332,1215.04,3.31725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MARQOL,1.90329,1.13712,1.74166,1020.24,2.2468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NORXAW,3.02407,1.15672,2.65349,2574.85,1.52564,0.0,0.0,13.1549,8.62256,0.0,0.0,0.0,25.4395,0.00988,0.00647599
MARXAF,2.76537,1.27027,2.76181,2078.98,1.75807,0.0,0.0,4.0373,2.29644,0.0,0.0,0.0,9.31385,0.00448,0.00254825
NOLVAN,2.22551,0.82297,2.21355,520.645,4.41175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NEDHAI,2.71676,1.83743,2.68764,1711.19,1.88656,0.0,0.0,2.02892,1.07546,0.0,0.0,0.0,0.0,0.0,0.0
NIQHUT,1.91402,1.12191,1.91402,1115.65,1.33198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEDLAK,2.54032,2.06517,2.54032,3858.38,2.74033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIWHUW,1.83454,0.90558,1.80376,762.086,2.8588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEBLUA,3.53519,2.39278,3.19403,1322.5,1.74814,0.0,0.0,406.921,232.774,0.0,0.0,0.0,209.141,0.15814,0.0904621
MXAGCO,1.85227,1.22323,1.66609,852.094,1.62776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NEGDOT,2.07688,1.2394,1.88758,1555.16,2.4089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LODQIH,1.91999,1.11783,1.91953,1786.09,2.55083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MELZOT,2.14363,1.71875,2.14363,1361.85,2.0103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NOBNEA,1.77864,0.85859,1.67384,2550.41,3.31634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OBECUT,2.43843,1.01198,2.41987,849.324,1.91281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OMUHOU,1.71018,0.98901,1.69368,1714.67,1.84504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PIBSOL,2.02702,0.80484,2.02702,500.405,2.77355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POCPIG01,1.45106,0.99035,1.44176,575.784,2.65291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OMUHIO,5.24675,4.70795,5.24675,1739.27,2.35309,1620.03,688.47,0.0,0.0,554.341,0.31872,0.135448,0.0,0.0,0.0
OKOVUG,2.56188,1.03545,2.55393,1258.61,1.97462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OSONOB,2.46776,1.72758,2.29817,664.936,2.41716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OSIWIX,1.71465,0.95715,1.52881,464.578,2.71581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAWXUJ,1.33631,0.93685,1.32408,608.387,2.55432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARYAJ,4.24618,1.66775,4.23963,1270.76,1.9495,0.0,0.0,884.932,453.928,0.0,0.0,0.0,270.112,0.21256,0.109033
POCPIG02,1.50437,1.08122,1.49127,578.042,2.64255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PEGFAJ,1.89418,1.43355,1.8842,1660.36,2.12842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OMUHEK,1.74745,0.99273,1.73555,1725.16,1.83382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAMBUB,2.05201,1.20887,2.03503,956.359,1.883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RIHWUC,2.87065,1.09635,2.84085,2477.1,1.53494,0.0,0.0,39.2616,25.5787,0.0,0.0,0.0,51.4742,0.02078,0.013538
RINRIR,1.94231,0.78173,1.7231,892.139,2.38569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QORYEC,2.66722,2.21903,2.65986,600.25,3.84773,0.0,0.0,2.77903,0.722252,0.0,0.0,0.0,0.0,0.0,0.0
RIGDOC,2.9289,2.05461,2.9279,3026.98,2.68063,0.0,0.0,39.106,14.5884,0.0,0.0,0.0,67.6228,0.02234,0.00833388
QOVBUA,2.40449,1.20021,2.15237,473.638,2.01977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QOFBUJ,1.67225,0.96627,1.67225,193.416,2.36072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POXNEW,1.66118,0.0,1.66118,4358.61,9.8444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QAFMAM,2.07673,0.99445,2.0126,1477.7,1.85913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RAJJUJ,2.6052,1.10425,2.59399,3098.78,1.62969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RAZBAW,2.24911,1.02444,2.23506,2903.19,1.90142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TAJXIO,3.69263,3.45097,3.69262,5237.39,2.33323,322.98,138.426,0.0,0.0,424.019,0.08096,0.0346987,0.0,0.0,0.0
TINNEK,3.47975,1.21835,3.26985,4202.62,1.80553,0.0,0.0,92.1391,51.0316,0.0,0.0,0.0,142.385,0.03388,0.0187646
TEJYAI01,1.75256,1.00233,1.75006,2470.29,2.1192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TETHIJ,4.01345,2.85023,4.00564,1557.52,2.50817,686.634,273.758,0.0,0.0,272.97,0.17526,0.0698755,0.0,0.0,0.0
TEHXUC,2.12484,1.10132,2.12484,2777.4,1.76363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SELPIL,1.86295,0.95377,1.84263,1908.31,2.33225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEHSAA,3.14641,1.6907,3.09662,6784.07,5.05337,0.0,0.0,34.0472,6.73752,0.0,0.0,0.0,82.0872,0.0121,0.00239444
TAJXIO02,3.66669,3.45698,3.66669,5267.81,2.31975,323.589,139.493,0.0,0.0,424.902,0.08066,0.0347709,0.0,0.0,0.0
SASKUV,2.78834,1.26412,2.76807,4042.12,2.39581,0.0,0.0,3.20487,1.3377,0.0,0.0,0.0,0.0,0.0,0.0
TAJXIO03,3.62936,3.42106,3.62936,5230.85,2.33614,314.793,134.749,0.0,0.0,416.899,0.0797,0.034116,0.0,0.0,0.0
SODBOC,9.03753,8.88917,9.02814,1343.11,1.23615,1278.07,1033.91,0.0,0.0,701.021,0.52194,0.422229,0.0,0.0,0.0
SEQCEW,1.60315,1.04334,1.59473,919.834,2.00761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOZGOE,2.01508,1.23409,2.01508,589.412,2.12463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SASLAC,2.69447,1.46092,2.3345,5916.29,2.0011,0.0,0.0,0.461895,0.230821,0.0,0.0,0.0,0.0,0.0,0.0
TIWTEZ,1.83569,1.08625,1.83569,884.521,2.92793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOZGOE01,1.66201,1.02142,1.59169,563.005,2.22428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TAJXIO04,3.63081,3.41863,3.61802,5226.15,2.33825,311.746,133.325,0.0,0.0,415.165,0.07944,0.0339742,0.0,0.0,0.0
SODDAQ,2.14122,1.0827,2.13026,1918.54,2.33363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TAYZIF,2.73092,1.0717,2.48595,1399.41,1.88943,0.0,0.0,2.02815,1.07342,0.0,0.0,0.0,9.3201,0.00666,0.00352486
SOCLUS,1.70049,0.96038,1.69173,1131.37,2.17303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TAJXIO01,3.69381,3.48019,3.69381,5294.9,2.30789,328.714,142.431,0.0,0.0,430.899,0.08138,0.0352617,0.0,0.0,0.0
RUSNAV,2.06956,1.14487,2.06956,898.245,1.88282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VUSCER,1.9618,1.20311,1.95728,1059.56,3.20086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VOPWUT,2.51515,1.46004,2.51182,801.752,1.93609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UDIKAW,1.90257,1.22643,1.79428,1025.1,1.69511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VEMVAK,2.67349,1.9189,2.67276,1012.01,2.10751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VOYVAI,3.3424,1.59292,3.33703,637.302,1.85539,0.0,0.0,377.278,203.341,0.0,0.0,0.0,77.5341,0.12166,0.0655711
VEGMIG,3.80414,1.99939,3.59748,2463.26,1.87267,0.0,0.0,225.507,120.42,0.0,0.0,0.0,184.942,0.07508,0.0400926
UPUVEH,3.32935,1.69044,3.32513,1296.74,1.89601,0.0,0.0,140.774,74.2474,0.0,0.0,0.0,67.4307,0.052,0.027426
UWOVIN,1.96423,1.18448,1.88708,1950.65,2.5265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USODEN,3.8587,2.98325,3.8587,3198.71,1.56623,441.23,281.714,62.5229,39.9193,304.069,0.09506,0.0606934,70.6915,0.0221,0.0141103
TURNEC,5.30811,4.87518,5.30811,1947.83,1.73409,876.798,505.625,0.0,0.0,406.162,0.20852,0.120248,0.0,0.0,0.0
VABQUL,2.10065,1.18192,2.08897,3062.25,1.7663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WAXLAL,2.15756,0.92502,2.14213,2087.74,2.40206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XANNEF,2.2029,1.48721,2.19341,1879.18,1.58521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XAMXIS,2.56541,1.41133,2.50932,1609.06,2.39432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WAXLEP,1.9354,0.92008,1.9354,1664.42,2.7093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XAYQET,4.49752,2.40142,4.4916,8209.72,2.1353,0.0,0.0,998.811,467.761,0.0,0.0,0.0,1711.4,0.20846,0.0976255
WASQUD,2.23263,0.86835,2.23263,1012.01,2.16001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XAZGIR,1.62495,0.83262,1.57893,1168.65,2.30758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XIHBOG,1.87079,0.98909,1.85399,1021.49,1.7437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
